cell_name	gene_name	tissue_type	gene_id
Macrophage	MERTK	Abdomen	ENSG00000153208
Macrophage	FCGR3A	Abdomen	ENSG00000203747
Macrophage	MRC1	Abdomen	ENSG00000260314
Macrophage	VSIG4	Abdomen	ENSG00000155659
Macrophage	CD163	Abdomen	ENSG00000177575
Brown adipocyte	FABP4	Abdominal fat pad	ENSG00000170323
Brown adipocyte		Abdominal fat pad	
Brown adipocyte	UCP1	Abdominal fat pad	ENSG00000109424
Mesenchymal stem cell	CD19	Adipose tissue	ENSG00000177455
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Endothelial cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell	CD34	Adipose tissue	ENSG00000174059
Pericyte	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Fat cell (adipocyte)	CIDEA	Adipose tissue	ENSG00000176194
Fat cell (adipocyte)	FABP4	Adipose tissue	ENSG00000170323
Fat cell (adipocyte)	UCP1	Adipose tissue	ENSG00000109424
Fat cell (adipocyte)	ZIC1	Adipose tissue	ENSG00000152977
Fat cell (adipocyte)	DLK1	Adipose tissue	ENSG00000185559
Fat cell (adipocyte)	BSCL2	Adipose tissue	ENSG00000168000
Fat cell (adipocyte)	ADIPOR1	Adipose tissue	ENSG00000159346
Fat cell (adipocyte)	DLK2	Adipose tissue	ENSG00000171462
Fat cell (adipocyte)	ADIPOR2	Adipose tissue	ENSG00000285070
Fat cell (adipocyte)	ADIPOR2	Adipose tissue	ENSG00000006831
Fat cell (adipocyte)	VSTM2A	Adipose tissue	ENSG00000170419
Fat cell (adipocyte)	VSTM2B	Adipose tissue	ENSG00000187135
Mesenchymal stem cell	ALCAM	Adipose tissue	ENSG00000170017
Mesenchymal stem cell	ANPEP	Adipose tissue	ENSG00000166825
Mesenchymal stem cell	ERBB2	Adipose tissue	ENSG00000141736
Fat cell (adipocyte)	TNFRSF9	Adipose tissue	ENSG00000049249
Mesenchymal stem cell	ITGA5	Adipose tissue	ENSG00000161638
Mesenchymal stem cell	ITGAV	Adipose tissue	ENSG00000138448
Mesenchymal stem cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stem cell	KIT	Adipose tissue	ENSG00000157404
Adipose-derived stem cell	MCAM	Adipose tissue	ENSG00000076706
Endothelial cell	MCAM	Adipose tissue	ENSG00000076706
Pericyte	MCAM	Adipose tissue	ENSG00000076706
Mesenchymal stem cell	MME	Adipose tissue	ENSG00000196549
Mesenchymal stem cell	NCAM1	Adipose tissue	ENSG00000149294
