cell_name	gene_name	tissue_type	gene_id
Fibro-adipogenic progenitor cell	Ccn4	Muscle	ENSMUSG00000005124
Myoblast	Myod1	Muscle	ENSMUSG00000009471
Muscle satellite cell	Myf5	Muscle	ENSMUSG00000000435
Myocyte	Ckm	Muscle	ENSMUSG00000030399
Myocyte	Acta1	Muscle	ENSMUSG00000031972
Lymphatic endothelial cell	Ccl21a	Muscle	ENSMUSG00000094686
Fibro-adipogenic progenitor cell	Pdgfra	Muscle	ENSMUSG00000029231
Fibro-adipogenic progenitor cell	Cxcl5	Muscle	ENSMUSG00000029371
Tenocyte	Fmod	Muscle	ENSMUSG00000041559
Fibro-adipogenic progenitor cell	Ccl7	Muscle	ENSMUSG00000035373
Muscle satellite cell	Pax7	Muscle	ENSMUSG00000028736
Endothelial cell	Cdh5	Muscle	ENSMUSG00000031871
Lymphatic endothelial cell	Lyve1	Muscle	ENSMUSG00000030787
Fibro-adipogenic progenitor cell	Ly6a	Muscle	ENSMUSG00000075602
Muscle satellite cell	Asb5	Muscle	ENSMUSG00000031519
Tenocyte	Tnmd	Muscle	ENSMUSG00000031250
Endothelial cell	Pecam1	Muscle	ENSMUSG00000020717
Fibro-adipogenic progenitor cell	Tnc	Muscle	ENSMUSG00000028364
Fibro-adipogenic progenitor cell	Dpp4	Muscle	ENSMUSG00000035000
Endothelial cell		Adipose tissue	
Macrophage		Adipose tissue	
Macrophage	Adgre1	Adipose tissue	ENSMUSG00000004730
Macrophage		White adipose tissue	
Preadipocyte		Adipose tissue	
Stem cell	Eng	Adipose tissue	ENSMUSG00000026814
Mesenchymal stromal cell		Adipose tissue	
Mesenchymal stromal cell		Adipose tissue	
Mesenchymal stromal cell	Thy1	Adipose tissue	ENSMUSG00000032011
Macrophage		White adipose tissue	
Monocyte		White adipose tissue	
Macrophage		White adipose tissue	
Monocyte	Adgre1	White adipose tissue	ENSMUSG00000004730
Macrophage	Adgre1	White adipose tissue	ENSMUSG00000004730
Monocyte		White adipose tissue	
Adipose-derived stem cell	Ly6a	Adipose tissue	ENSMUSG00000075602
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	Itgb1	Adipose tissue	ENSMUSG00000025809
Adipose-derived stem cell		Adipose tissue	
Fat cell (adipocyte)	Cidea	Adipose tissue	ENSMUSG00000024526
Fat cell (adipocyte)	Ucp1	Adipose tissue	ENSMUSG00000031710
Adipose-derived stem cell	Ly6a	Adipose tissue	ENSMUSG00000075602
Mesenchymal stem cell	Eng	Adipose tissue	ENSMUSG00000026814
Mesenchymal stem cell	Nt5e	Adipose tissue	ENSMUSG00000032420
Adipose-derived stem cell	Eng	Adipose tissue	ENSMUSG00000026814
Adipose-derived stem cell	Thy1	Adipose tissue	ENSMUSG00000032011
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Mesenchymal stem cell	Eng	Adipose tissue	ENSMUSG00000026814
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell		Adipose tissue	
Brown fat cell	P2rx5	Adipose tissue	ENSMUSG00000005950
Beige fat cell		Adipose tissue	
Beige fat cell	P2rx5	Adipose tissue	ENSMUSG00000005950
Brown fat cell	Slc7a10	Adipose tissue	ENSMUSG00000030495
White fat cell	Slc7a10	Adipose tissue	ENSMUSG00000030495
Beige fat cell	Slc7a10	Adipose tissue	ENSMUSG00000030495
Brown fat cell		Adipose tissue	
M2 macrophage	Il4	Adipose tissue	ENSMUSG00000000869
M2 macrophage	Mrc1	Adipose tissue	ENSMUSG00000026712
M1 macrophage		Adipose tissue	
M2 macrophage	Clec10a	Adipose tissue	ENSMUSG00000000318
M1 macrophage	Tnf	Adipose tissue	ENSMUSG00000024401
M1 macrophage	Nos2	Adipose tissue	ENSMUSG00000020826
M1 macrophage		Adipose tissue	
M1 macrophage	Il18	Adipose tissue	ENSMUSG00000039217
M1 macrophage	Ccl5	Adipose tissue	ENSMUSG00000035042
M1 macrophage	Ccl2	Adipose tissue	ENSMUSG00000035385
Fat cell (adipocyte)	Fabp4	Adipose tissue	ENSMUSG00000062515
Fat cell (adipocyte)		Adipose tissue	
Fat cell (adipocyte)		Adipose tissue	
Fat cell (adipocyte)	Tmem26	Adipose tissue	ENSMUSG00000060044
Fat cell (adipocyte)	Tbx1	Adipose tissue	ENSMUSG00000009097
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	Thy1	Adipose tissue	ENSMUSG00000032011
M1 macrophage		White adipose tissue	
M2 macrophage	Mrc1	White adipose tissue	ENSMUSG00000026712
Preadipocyte		Adipose tissue	
Adipogenic progenitor cell	Ly6a	White adipose tissue	ENSMUSG00000075602
Adipogenic progenitor cell		White adipose tissue	
Preadipocyte		White adipose tissue	
Macrophage	Adgre1	Adipose tissue	ENSMUSG00000004730
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	Thy1	Adipose tissue	ENSMUSG00000032011
Macrophage	Mrc1	Adipose tissue	ENSMUSG00000026712
Macrophage		Adipose tissue	
Macrophage	Adgre1	Adipose tissue	ENSMUSG00000004730
Adipose-derived stem cell		Adipose tissue	
Macrophage	Adgre1	Adipose tissue	ENSMUSG00000004730
M1 macrophage	Nos2	Adipose tissue	ENSMUSG00000020826
M2 macrophage	Chil3	Adipose tissue	ENSMUSG00000040809
M1 macrophage	Il1b	Adipose tissue	ENSMUSG00000027398
Schwalie et al.Nature.G2	Fmo1	Adipose tissue	ENSMUSG00000040181
Schwalie et al.Nature.G4	Stat2	Adipose tissue	ENSMUSG00000040033
Schwalie et al.Nature.P3	Chd8	Adipose tissue	ENSMUSG00000053754
Schwalie et al.Nature.G1	Xdh	Adipose tissue	ENSMUSG00000024066
Schwalie et al.Nature.G2	Serf1	Adipose tissue	ENSMUSG00000021643
Schwalie et al.Nature.G3	Serp1	Adipose tissue	ENSMUSG00000027808
Schwalie et al.Nature.P3	Grem2	Adipose tissue	ENSMUSG00000050069
Schwalie et al.Nature.P2	Egfr	Adipose tissue	ENSMUSG00000020122
Schwalie et al.Nature.G1	Sfrp2	Adipose tissue	ENSMUSG00000027996
Schwalie et al.Nature.G4	Tor3a	Adipose tissue	ENSMUSG00000060519
Schwalie et al.Nature.P2	Heph	Adipose tissue	ENSMUSG00000031209
Schwalie et al.Nature.P2	Adamts12	Adipose tissue	ENSMUSG00000047497
Schwalie et al.Nature.P3	Adamtsl5	Adipose tissue	ENSMUSG00000043822
Schwalie et al.Nature.G2	Tcf12	Adipose tissue	ENSMUSG00000032228
Schwalie et al.Nature.G4	Stat1	Adipose tissue	ENSMUSG00000026104
Schwalie et al.Nature.P2	Gnl3	Adipose tissue	ENSMUSG00000042354
Schwalie et al.Nature.P2		Adipose tissue	
Schwalie et al.Nature.P1	Osr2	Adipose tissue	ENSMUSG00000022330
Schwalie et al.Nature.P3	Bace2	Adipose tissue	ENSMUSG00000040605
